城市	采矿业	电力、热力、燃气及水生产和供应业	房地产业	建筑业	交通运输、仓储和邮政业	教育	金融业	居民服务、修理和其他服务业	科学研究和技术服务业	农、林、牧、渔业	批发和零售业	其他	水利、环境和公共设施管理业	卫生和社会工作	文化、体育和娱乐业	信息传输、软件和信息技术服务业	制造业	住宿和餐饮业	租赁和商务服务业
南充		5000	5861	14268	6927	5348	7649	5235		4931	6454	6340	6000	10216	6235	4925	7185	4880	6755
青海														3000					
漳州	12500	3315	4936	12386	4019	4679	7775	4894	3000	6358	6770	7186	12000	19291	4869	6019	5582	6926	5466
清远	7800	8680	6087	7264	4510	6206	13137	4961		9857	4875	7402	9500	16114	9729	5232	6055	5357	3833
福建												12500					5000		
黄南	12250		3000	4000	7714	7000	6850					10031		14583		5485	4384	9000	
永康	1000	6636	8935	7000	4816	6770	7836	5692		3000		7453		17826	3941	7829	6887	8400	5723
乌审旗	4717	7000	5736	9000	7068	7074	6285			5100	5000	7624		24166		5921	5488	8764	6555
莆田	12500	3750	5543	9918	4581	4176	7401	6187		3000	5304	7201	12619	17569	5035	6515	6564	6484	4776
佛山	4045	6018	6509	6803	4753	5925	9236	4348	6838	11802	5619	6105	7846	8306	5605	6082	6099	4618	5590
海宁	1000	7428	6128	11000	5741	5054	8180	6629		9000	3833	7370		21477		6967	5964	8560	5857
伊犁哈萨克自治州	1000		9625	7000						3000		6231		14277		6000	5000	8000	
匈牙利																12500	5000		
石河子	5000		7000	8307	4600	5388	8573					6705	7000	14535	4000	6483	5226	4850	5000
张家港	10300	5108	5678	7889	5831	6625	7928	3666	17500	5778	7907	6638	6730	12257	4761	6797	6490	7387	6765
塔城	5000		7000	9566		4455	3090					6750		12670	5000	8846	4818	7000	
巴基斯坦					9000							7000					10000		
香河	5000	6500	8177	9202	6978	5218	5309			3979	3545	6799		5588	5666	6736	6703	8211	6292
鹰潭	3000	3000	3711	5810	6339	4934	12333	4866	8500	4500	3000	6946	7000	12345	8142	6069	6102	8967	5880
三亚	1000		5066	8877	6369	5402	7229	5770	3638	3468		6702	3240	15895	7166	7439	6911	10420	7529
海口	2857	3695	4504	7624	6040	5462	8202	5091	3555	4583	6071	6608	5590	10406	4903	6071	5376	11276	6067
河北												9000							
德州	5702	4536	7174	6655	5743	5274	7154	6846	5642	5364	6685	6227	9153	8490	4495	5452	5985	6660	3829
鸡西	7666	3000	10956	14579	5511	6550	5244	6833		4133	5000	7837	3000	15580	6520	4980	6934	7257	7293
东阳	1000	6666	11906	8250	7243	5338	11755	6200		3000	3000	8000		18080		6762	5771	8125	5609
宜宾			6043	15487	8179	5488	8540	5769	7000	8294	5606	6661	7000	9006	6263	6078	8933	7284	6915
安阳	4230	3086	6437	5732	5691	3646	5951	3910	6000	4628	5040	5667	4000	8674	4173	5209	6657	7039	4231
松原	4142	3000	5364	6704	4799	6440	8746	4142	3000	6519	4574	6379	7411	10168	8200	4782	5674	5545	7187
通辽	5637	3000	4223	8336	5283	5755	5914	5000		3662	5105	6455		7537		6228	6540	5880	6500
意大利					9000							18437				3000	8125		7000
呼和浩特	5738	8196	6929	8002	6190	6400	6598	7669	3888	7079	5437	6571	7031	7952	4156	5870	6476	8661	5637
黑河		3000	13324	21000	5500	7550	5885	4000		3750	3942	8070		16461	5000	5296	6476	6828	8315
榆林	9276	4714	4819	8326	7702	8716	9061	3303		5794	4606	7203	3090	7231	4000	7079	7496	9282	7527
茂名		5666	6406	10225	4276	6150	12757	3666	6043	17500	5000	7777		15792	4500	6011	7378	5616	5044
阿拉尔	5000		7000	8000		5482						7380		20234	5000	7193	5000	7000	
楚雄			6136	9394	9000	3986	13417	3000			8875	7529	7666	8841	3000	5523	7106	8482	3000
新疆												5117		3000		17500			
厦门	8208	4735	6731	7138	4807	5553	8680	5461	5948	4959	5916	6045	8875	9952	5770	7021	5193	5971	5196
宿州	1250	4666	7564	8858	7610	5037	6351	5222		5227	14750	6995	9000	10202	7125	5527	7557	5871	5976
阿坝	5000	5000	7538	19244	5952	4545	6870	9000		5000		7548		9697	5090	5806	6247	9263	8181
永嘉	1000	6714	12181	4666	7279	6377	8817	6066			3000	8652		35287		6174	7140	8625	5000
南宁	4548	4957	5502	6390	6726	5292	7152	4981	4611	5613	5773	5848	5732	9109	4735	4999	5297	5745	4975
文山			5121	6094	6000	4250	7609	3000		3000	5000	7099	8000	9358		4917	6521	7737	3800
海北	12250		3000	3000	8485	7000	6581					10352		13888		5496	4416	9000	
揭阳		6142	6868	10600	6455	6397	12899			7826		7629		17435		6607	7724	5114	3316
伊春	5000	3000	11694	20076	6483	8776	6293	19666		3620		8442	3000	20939	5000	5401	7134	6892	7791
三门峡	3000	3000	6756	6642	7669	5000	8567	4684	6000	7000	13250	7777		8570	3000	5775	7806	9242	3723
沙特阿拉伯	12500			11468	10300							9375		25000		5166	10666		7000
儋州	1000		5000	10543	2863	4360	5083	4000				7527		5953	6333	5761	4461	9000	25000
柳州	12500	3000	4450	5980	7008	4862	7156	6178	3250	9571	7554	6008	3400	10885	3260	5048	5704	5687	4129
东莞	6040	7379	7275	7806	5162	5938	8947	5968	5571	11626	7000	6477	7432	9915	6859	6983	6367	5435	6488
迪庆			11833	10650	8000	4384	9163					7947	9000	12944		4951	6064	8820	3000
三明	6363	5000	4644	6071	5627	5080	8816	7352		4500	4925	7438		16335	5848	5651	5475	5952	4795
周口	3000	3000	4577	8546	6782	4751	6768	5627	7000	5107	3750	6681	5000	8404	6729	5145	7086	7142	3879
靖江	5000	4444	7702	8277	6388	5690	11287	8600	7000	9500	9000	7518	6142	15455	3000	7678	6344	10195	8046
塞内加尔	1000			12500													5000		14275
云南												1500							
德宏			9125	11250	3000	6194	9404			3000		7832	9000	10344		4758	6647	8280	3000
吕梁	7705	3000	4181	11848	7429	5429	7753	4990		3000	11333	7297	9000	9241	5000	6011	7973	8912	11916
上饶	10491	4885	7711	8428	6423	5447	8513	4728		4333	6217	6094	6640	10212	6161	5600	6019	6796	5404
捷克																	5000		
安康	16538	3000	4369	7843	6669	5319	8764	3363		4900	7700	6859	3000	7954	7857	6743	7461	9516	8474
海南												12065		5000					
玉溪			4105	8385	5960	6000	12234	3500			9000	7668	8000	11390		4909	6858	8481	3903
印度				3000	5000							9818				20833	5000		7444
乐清	1000	6108	8714	7363	5203	4907	7786	5869			7000	7052	12500	19435	3210	5975	7473	8431	3727
